product,price,link,years,kilometraje,_created,id,location_city,location_state
Volkswagen Jetta 2.0 Tdi,24000000,https://carro.mercadolibre.com.co/MCO-1434657399-volkswagen-jetta-20-_JM#position=29&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2000,208000,2024-06-07,1434657399,Usaquén,Bogotá D.C.
Volkswagen Taos 1.4 Tsi Comfortline Select,125000000,https://carro.mercadolibre.com.co/MCO-1434670279-volkswagen-taos-comfortline-14-_JM#position=30&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2022,29013,2024-06-07,1434670279,Usaquén,Bogotá D.C.
Mercedes-benz Clase Gla Gla 200 1.6,83000000,https://carro.mercadolibre.com.co/MCO-1434670035-mercedes-benz-gla-200-16-_JM#position=31&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2016,48000,2024-06-07,1434670035,Suba,Bogotá D.C.
Nissan Qashqai 2.0 Exclusive 142 Hp,92000000,https://carro.mercadolibre.com.co/MCO-1434632319-nissan-qashqai-exclusive-20-_JM#position=32&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2018,48000,2024-06-07,1434632319,Usaquén,Bogotá D.C.
Renault Koleos 2.5 Privilege,52000000,https://carro.mercadolibre.com.co/MCO-2431443702-renault-koleos-privilege-25-_JM#position=33&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2011,113000,2024-06-07,2431443702,Suba,Bogotá D.C.
Kia Sorento 2.5 Lx Vgt,44900000,https://carro.mercadolibre.com.co/MCO-1412940447-kia-sorento-lx-_JM#position=46&search_layout=grid&type=item&tracking_id=5acb37fb-7895-4726-ac31-d5576d0a4a4c,2009,86000,2024-04-14,1412940447,Martires,Bogotá D.C.
Mercedes-benz Clase A 1.6 A 200,59500000,https://carro.mercadolibre.com.co/MCO-2431529302-mercedes-benz-a-200-mt-16-2014-_JM#position=34&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2014,47000,2024-06-07,2431529302,Usaquén,Bogotá D.C.
Toyota Hilux 2.8l,229000000,https://carro.mercadolibre.com.co/MCO-1434629095-toyota-hilux-28-srx-_JM#position=35&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2022,69595,2024-06-07,1434629095,Usaquén,Bogotá D.C.
Mazda Cx-30 2.5 Grand Touring Lx 4x2,114000000,https://carro.mercadolibre.com.co/MCO-1434631163-mazda-cx30-grand-touring-lx-25-_JM#position=36&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2022,17500,2024-06-07,1434631163,Usaquén,Bogotá D.C.
Subaru Outback 2.4 R Limited,169900000,https://carro.mercadolibre.com.co/MCO-2431417086-subaru-outback-24t-adventure-special-2022-_JM#position=37&search_layout=grid&type=item&tracking_id=dea3ae3a-04aa-442c-9683-215eb2de9ed9,2022,1000,2024-06-07,2431417086,Cajicá,Cundinamarca
